,date,open,high,low,close,volume,average,barCount
0,2025-04-14,8.82,9.04,7.99,8.4,168185204.0,8.46,158233
1,2025-04-15,8.26,8.84,8.09,8.53,123073761.0,8.552,106489
2,2025-04-16,8.11,8.38,7.17,7.69,119791567.0,7.834,120316
3,2025-04-17,7.81,7.85,7.42,7.67,72428133.0,7.625,61295
4,2025-04-21,6.96,7.06,6.49,6.78,123841671.0,6.667,118685
5,2025-04-22,6.98,7.68,6.92,7.39,110231233.0,7.342,105385
6,2025-04-23,8.45,8.73,7.8,8.2,187117045.0,8.321,204478
7,2025-04-24,8.18,8.75,8.09,8.74,134405615.0,8.479,114232
8,2025-04-25,8.91,10.59,8.76,10.45,233766580.0,9.965,245029
9,2025-04-28,10.77,11.19,9.55,10.54,229757368.0,10.264,248044
10,2025-04-29,10.5,11.07,10.06,10.97,158749675.0,10.446,150723
11,2025-04-30,10.06,10.4,9.38,10.25,173445492.0,9.879,169908
12,2025-05-01,10.09,10.86,10.06,10.1,134206594.0,10.447,135743
13,2025-05-02,10.43,11.12,10.05,10.57,221983511.0,10.651,194063
14,2025-05-05,10.39,10.4,9.64,10.06,159759428.0,9.972,165493
15,2025-05-06,9.54,9.88,9.44,9.71,109132191.0,9.639,97474
16,2025-05-07,9.82,9.88,9.4,9.77,108920375.0,9.651,101025
17,2025-05-08,10.01,10.72,9.99,10.37,160847436.0,10.412,151700
18,2025-05-09,10.76,11.98,10.74,11.34,228480258.0,11.465,237111
19,2025-05-12,13.13,13.17,12.35,12.87,171390685.0,12.771,175768
20,2025-05-13,12.99,14.41,12.74,14.11,265245518.0,13.553,281895
21,2025-05-14,14.84,15.47,14.37,15.25,221858107.0,14.984,248586
22,2025-05-15,14.62,15.13,14.13,14.82,154652969.0,14.647,162561
23,2025-05-16,15.12,15.59,14.79,15.42,169311991.0,15.211,172266
24,2025-05-19,14.24,14.84,13.99,14.74,146111394.0,14.506,164327
25,2025-05-20,15.25,15.85,14.71,14.9,233109898.0,15.257,247264
26,2025-05-21,14.95,15.19,13.88,14.07,189828137.0,14.645,210808
27,2025-05-22,13.87,15.14,13.82,14.62,148033651.0,14.679,153293
28,2025-05-23,14.31,14.8,13.95,14.48,123699321.0,14.402,123363
29,2025-05-27,15.15,16.54,15.14,16.46,197072866.0,16.015,208313
30,2025-05-28,16.66,16.66,15.83,15.91,128277226.0,16.291,140798
31,2025-05-29,16.67,16.88,15.83,16.05,119914773.0,16.327,126692
32,2025-05-30,15.78,16.5,14.86,14.91,154970676.0,15.61,175531
33,2025-06-02,14.72,15.1,13.83,14.64,124585810.0,14.342,147895
