,date,open,high,low,close,volume,average,barCount
0,2025-04-14,214.0,216.0,210.99,212.95,535828.0,213.32,3840
1,2025-04-15,212.75,215.35,211.95,214.6,492324.0,214.283,3458
2,2025-04-16,213.8,215.86,209.17,211.4,461226.0,212.646,3466
3,2025-04-17,213.67,214.8,211.46,212.77,489312.0,213.19,3143
4,2025-04-21,211.37,211.37,202.41,205.16,711352.0,205.224,5531
5,2025-04-22,208.13,211.76,207.06,209.97,748630.0,210.168,5512
6,2025-04-23,212.07,215.97,211.0,213.3,849936.0,213.384,6396
7,2025-04-24,213.8,224.58,213.3,222.69,1516838.0,221.408,9329
8,2025-04-25,222.65,225.49,222.28,225.38,766554.0,224.113,4786
9,2025-04-28,227.25,229.0,223.59,225.55,850879.0,225.836,5832
10,2025-04-29,225.2,231.23,225.2,230.71,714496.0,229.39,5191
11,2025-04-30,227.0,234.09,225.4,233.32,778873.0,230.971,4695
12,2025-05-01,234.12,238.0,233.42,235.17,1058161.0,235.222,6436
13,2025-05-02,214.45,224.72,211.0,219.5,5102915.0,218.95,29048
14,2025-05-05,218.5,225.82,217.74,225.32,1585683.0,222.568,10921
15,2025-05-06,224.9,232.21,222.23,231.84,1436451.0,228.979,9472
16,2025-05-07,232.5,232.94,225.34,226.34,1351442.0,227.712,10427
17,2025-05-08,227.11,227.98,224.39,225.45,595140.0,226.299,4034
18,2025-05-09,225.45,227.49,223.05,226.55,618763.0,226.139,4854
19,2025-05-12,226.08,227.89,219.41,226.25,857265.0,224.777,5689
20,2025-05-13,225.86,228.31,224.3,226.16,854136.0,226.42,5150
21,2025-05-14,225.71,229.67,224.89,229.5,773482.0,228.42,5658
22,2025-05-15,228.4,233.76,228.39,232.34,1256698.0,232.105,9402
23,2025-05-16,236.58,240.78,226.11,226.74,2201731.0,230.1,15911
24,2025-05-19,226.74,235.72,225.45,234.66,974599.0,233.04,7078
25,2025-05-20,233.02,237.62,232.53,237.5,600334.0,235.44,4236
26,2025-05-21,228.14,231.64,226.67,226.76,3170310.0,229.272,20638
27,2025-05-22,228.03,228.4,223.12,226.01,2332726.0,225.75,14306
28,2025-05-23,225.98,226.16,224.0,224.99,796858.0,225.467,5974
29,2025-05-27,226.0,227.5,224.0,226.27,1070778.0,226.408,7795
30,2025-05-28,226.34,229.88,226.34,228.33,946319.0,228.348,6950
31,2025-05-29,228.66,228.66,223.72,225.39,1098439.0,225.406,8280
32,2025-05-30,225.4,226.95,224.26,226.28,1037157.0,225.717,8244
33,2025-06-02,225.72,227.63,222.12,227.6,1344763.0,225.518,9944
34,2025-06-03,227.0,229.85,224.0,229.65,846505.0,227.773,6589
35,2025-06-04,229.52,230.4,227.2,229.18,756143.0,228.899,5899
36,2025-06-05,229.55,232.78,228.83,231.03,1182661.0,231.034,8159
37,2025-06-06,232.63,233.2,230.47,232.72,715959.0,232.181,5514
38,2025-06-09,232.27,234.33,230.39,233.5,604537.0,233.257,4764
39,2025-06-10,233.47,235.62,231.89,234.91,667601.0,234.159,5456
40,2025-06-11,234.33,235.67,232.24,234.74,482464.0,234.835,3934
41,2025-06-12,234.12,237.39,233.61,234.46,709992.0,235.511,5624
42,2025-06-13,232.93,235.8,229.59,230.23,942320.0,232.779,6064
43,2025-06-16,230.95,240.44,230.67,238.6,871447.0,238.212,6152
44,2025-06-17,238.61,239.56,236.15,237.52,758023.0,237.666,5213
45,2025-06-18,237.7,242.09,235.67,238.5,1314835.0,239.232,8882
46,2025-06-20,240.09,242.28,236.98,238.37,1529296.0,239.908,6444
47,2025-06-23,238.28,241.96,235.55,241.59,708269.0,240.649,5134
48,2025-06-24,242.37,245.08,240.61,243.05,647565.0,243.305,4585
49,2025-06-25,243.47,244.44,240.81,241.64,467683.0,242.327,3509
50,2025-06-26,241.38,242.76,238.66,239.33,724914.0,239.761,4565
51,2025-06-27,239.37,241.91,238.88,241.44,943095.0,240.488,6715
52,2025-06-30,242.68,244.5,237.31,242.85,1239810.0,241.737,9051
53,2025-07-01,242.43,243.91,238.11,240.1,851036.0,240.645,6230
54,2025-07-02,239.93,242.28,238.82,239.51,677562.0,240.524,5351
55,2025-07-03,240.16,240.99,237.01,240.11,411091.0,239.678,2689
56,2025-07-07,240.64,243.19,239.84,242.53,818169.0,241.761,5518
57,2025-07-08,242.53,243.13,239.51,240.56,358644.0,240.975,2889
58,2025-07-09,241.35,243.18,240.16,242.23,474121.0,241.951,3153
59,2025-07-10,241.67,242.53,234.6,235.33,1294552.0,236.601,9481
60,2025-07-11,235.78,236.53,233.15,233.92,523517.0,234.409,3586
61,2025-07-14,234.0,239.16,233.5,238.46,570399.0,237.543,3785
62,2025-07-15,237.8,241.07,236.2,237.7,930033.0,238.919,4845
63,2025-07-16,238.79,239.6,236.91,238.73,749677.0,238.2,5122
64,2025-07-17,238.86,238.96,230.4,233.92,880742.0,233.524,6436
65,2025-07-18,234.38,234.95,227.45,231.18,1637920.0,230.15,10055
66,2025-07-21,232.08,233.24,230.06,231.63,374649.0,231.879,2648
67,2025-07-22,232.13,232.85,229.1,231.07,557950.0,230.824,4344
