,date,open,high,low,close,volume,average,barCount
0,2025-04-14,1.73,1.73,1.67,1.72,1516429.0,1.69842,4151
1,2025-04-15,1.72,1.745,1.7,1.73,1244113.0,1.72346,3060
2,2025-04-16,1.71,1.78,1.71,1.77,1900498.0,1.7635,3295
3,2025-04-17,1.78,1.88,1.77,1.87,2263054.0,1.83886,4307
4,2025-04-21,1.83,1.87,1.775,1.81,897671.0,1.80079,2075
5,2025-04-22,1.85,1.87,1.79,1.85,2420926.0,1.82494,5884
6,2025-04-23,1.86,1.94,1.835,1.94,2326104.0,1.90923,4182
7,2025-04-24,1.93,1.97,1.89,1.95,1077176.0,1.9402,2095
8,2025-04-25,1.97,1.99,1.91,1.99,1487920.0,1.96726,4118
9,2025-04-28,1.99,2.05,1.99,2.0,1420971.0,2.01495,2884
10,2025-04-29,1.985,2.0,1.87,1.89,2162107.0,1.89318,4459
11,2025-04-30,1.73,1.82,1.69,1.82,4007774.0,1.77062,6747
12,2025-05-01,1.81,1.8288,1.72,1.76,1950737.0,1.75074,5814
13,2025-05-02,1.77,1.79,1.715,1.76,2529733.0,1.75384,4765
14,2025-05-05,1.75,1.75,1.7,1.71,1999392.0,1.72313,4117
15,2025-05-06,1.71,1.8,1.67,1.79,2060284.0,1.75231,3942
16,2025-05-07,1.79,1.85,1.78,1.8,2332391.0,1.81052,5332
17,2025-05-08,1.82,1.83,1.76,1.81,1724244.0,1.79665,3592
18,2025-05-09,1.83,1.835,1.79,1.81,1567562.0,1.81494,3693
19,2025-05-12,1.83,1.83,1.79,1.8,1308407.0,1.80853,2562
20,2025-05-13,1.82,1.88,1.8001,1.84,5692517.0,1.84654,6920
21,2025-05-14,1.84,1.99,1.84,1.99,2693289.0,1.93336,4014
22,2025-05-15,1.96,2.04,1.96,2.03,2348238.0,2.01938,3716
23,2025-05-16,2.02,2.04,1.99,2.01,1034089.0,2.02275,2372
24,2025-05-19,1.99,2.05,1.99,2.03,785783.0,2.03823,1890
25,2025-05-20,2.03,2.11,2.03,2.1,1544719.0,2.08964,3110
26,2025-05-21,2.1,2.105,2.0646,2.08,1848008.0,2.0814,3979
27,2025-05-22,2.06,2.105,2.04,2.04,2475965.0,2.05931,4047
28,2025-05-23,2.03,2.04,2.0,2.02,3520993.0,2.02266,7304
29,2025-05-27,2.04,2.07,2.01,2.01,1175148.0,2.03437,3278
30,2025-05-28,2.0,2.04,1.99,2.01,2212198.0,2.0061,2964
31,2025-05-29,2.02,2.02,1.98,1.99,2205333.0,1.99843,4477
32,2025-05-30,1.92,1.98,1.86,1.91,3078272.0,1.89312,6145
33,2025-06-02,1.92,1.97,1.89,1.97,1938279.0,1.94937,5584
34,2025-06-03,1.95,1.98,1.945,1.96,1000175.0,1.96681,2568
35,2025-06-04,1.98,2.01,1.97,1.98,1892439.0,1.99022,2644
36,2025-06-05,1.96,2.01,1.96,1.99,1434248.0,1.99447,2989
37,2025-06-06,1.99,2.03,1.96,1.99,1915097.0,2.00449,4223
38,2025-06-09,2.0,2.04,1.98,2.0,1894504.0,2.00648,2797
39,2025-06-10,2.0,2.015,1.97,1.99,3083648.0,1.99441,4561
40,2025-06-11,2.02,2.16,1.99,2.16,4431582.0,2.0565,4927
41,2025-06-12,2.15,2.23,2.14,2.23,1275705.0,2.19791,2384
42,2025-06-13,2.21,2.22,2.17,2.18,1093753.0,2.19546,2119
43,2025-06-16,2.21,2.26,2.19,2.25,1677467.0,2.22734,2976
44,2025-06-17,2.22,2.27,2.215,2.26,812392.0,2.2493,1862
45,2025-06-18,2.26,2.28,2.22,2.24,1183307.0,2.25657,2740
46,2025-06-20,2.28,2.36,2.27,2.28,2416935.0,2.31154,4797
47,2025-06-23,2.26,2.37,2.22,2.37,1765153.0,2.31267,3410
48,2025-06-24,2.36,2.49,2.36,2.48,2597860.0,2.44255,4664
49,2025-06-25,2.49,2.49,2.375,2.45,2230080.0,2.43076,3843
50,2025-06-26,2.48,2.48,2.38,2.39,1458203.0,2.41329,2843
51,2025-06-27,2.42,2.425,2.27,2.28,1778516.0,2.3358,3360
52,2025-06-30,2.28,2.295,2.19,2.19,1246118.0,2.23054,2262
53,2025-07-01,2.19,2.27,2.182,2.25,1295910.0,2.23339,2142
54,2025-07-02,2.25,2.34,2.25,2.31,1794527.0,2.29915,4031
55,2025-07-03,2.31,2.36,2.31,2.34,429481.0,2.33468,1341
56,2025-07-07,2.37,2.37,2.25,2.25,1244896.0,2.27935,2829
57,2025-07-08,2.26,2.27,2.22,2.22,1268303.0,2.24611,2593
58,2025-07-09,2.22,2.2599,2.19,2.19,1030432.0,2.21599,1959
59,2025-07-10,2.18,2.22,2.15,2.16,848634.0,2.18475,1843
60,2025-07-11,2.13,2.195,2.1242,2.18,479281.0,2.17053,1082
61,2025-07-14,2.17,2.18,2.15,2.15,293773.0,2.16071,831
62,2025-07-15,2.17,2.19,2.11,2.12,558436.0,2.13614,1700
63,2025-07-16,2.14,2.15,2.12,2.13,393573.0,2.13539,954
64,2025-07-17,2.12,2.14,2.07,2.1,759496.0,2.09117,2037
65,2025-07-18,2.12,2.125,2.03,2.08,1432026.0,2.07199,3499
66,2025-07-21,2.08,2.15,2.08,2.14,1104508.0,2.11607,3282
67,2025-07-22,2.15,2.41,2.15,2.37,3775847.0,2.33572,8697
68,2025-07-23,2.47,2.535,2.43,2.45,2733748.0,2.47264,8221
69,2025-07-24,2.43,2.475,2.4,2.41,933989.0,2.42896,2465
70,2025-07-25,2.44,2.46,2.335,2.37,1052102.0,2.36573,2091
71,2025-07-28,2.38,2.39,2.275,2.3,628565.0,2.30147,1350
72,2025-07-29,2.52,2.6,2.48,2.5,5909491.0,2.521,10609
73,2025-07-30,2.55,2.82,2.511,2.81,4734481.0,2.7051,10578
