,date,open,high,low,close,volume,average,barCount
0,2025-04-14,73.52,73.65,72.23,73.1,7398589.0,73.061,42852
1,2025-04-15,73.1,74.72,73.1,74.02,8358771.0,73.977,50687
2,2025-04-16,73.58,74.8,72.05,73.06,9594250.0,73.438,56458
3,2025-04-17,73.98,75.91,73.76,75.24,13428194.0,75.079,71880
4,2025-04-21,74.44,75.44,71.27,72.92,14819344.0,72.807,78304
5,2025-04-22,73.85,75.56,73.35,74.44,11267147.0,74.481,63084
6,2025-04-23,76.85,77.58,73.23,73.77,14867883.0,74.77,82074
7,2025-04-24,74.12,78.38,73.86,78.1,16152197.0,77.141,77813
8,2025-04-25,78.56,80.56,77.47,77.75,14263435.0,78.712,72258
9,2025-04-28,78.11,78.78,77.04,78.33,8885422.0,78.013,45763
10,2025-04-29,78.33,79.73,78.03,79.42,7828058.0,78.978,42072
11,2025-04-30,77.77,81.22,77.3,81.01,10615447.0,79.686,55431
12,2025-05-01,81.0,81.92,80.67,80.89,12325108.0,81.26,69008
13,2025-05-02,82.09,84.92,81.8,84.28,15705732.0,84.119,80518
14,2025-05-05,83.05,86.57,82.97,85.43,17975222.0,85.641,96277
15,2025-05-06,83.5,86.53,83.1,85.83,20629767.0,85.523,117590
16,2025-05-07,83.13,85.17,80.12,83.65,34273021.0,83.405,153993
17,2025-05-08,83.87,84.0,82.0,82.3,16678759.0,82.966,83241
18,2025-05-09,82.85,84.13,82.32,82.81,11490325.0,82.906,57244
19,2025-05-12,84.62,88.31,82.22,88.1,27594554.0,85.923,140790
20,2025-05-13,87.41,92.17,86.93,91.72,25663989.0,90.451,126994
21,2025-05-14,90.58,91.65,89.68,90.41,20348640.0,90.439,106891
22,2025-05-15,89.66,91.12,89.24,90.16,13648936.0,89.958,66873
23,2025-05-16,90.55,92.9,89.71,91.79,14068675.0,91.693,68049
24,2025-05-19,90.88,92.55,90.56,92.46,11779432.0,91.828,63157
25,2025-05-20,93.35,93.6,90.61,91.87,14737684.0,92.329,77517
26,2025-05-21,90.64,91.04,88.0,88.67,17606785.0,89.291,99019
27,2025-05-22,88.45,89.26,87.88,88.0,10729863.0,88.439,59770
28,2025-05-23,87.2,88.49,86.7,87.75,11730283.0,87.736,56863
29,2025-05-27,89.17,89.72,87.89,89.0,11233662.0,88.925,60479
