,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,4.3,4.3588,4.15,4.21,3919884.0,4.24787,7446
1,2025-04-14 12:00:00-04:00,4.2,4.3,4.135,4.265,5001111.0,4.22519,8938
2,2025-04-15 09:30:00-04:00,4.32,4.39,4.15,4.16,1996266.0,4.25495,4327
3,2025-04-15 12:00:00-04:00,4.16,4.17,4.06,4.12,3043015.0,4.09838,6165
4,2025-04-16 09:30:00-04:00,4.14,4.67,4.14,4.54,7507162.0,4.51652,14048
5,2025-04-16 12:00:00-04:00,4.5415,4.55,4.37,4.45,5132747.0,4.45298,11017
6,2025-04-17 09:30:00-04:00,4.91,4.97,4.62,4.725,7791131.0,4.76665,16250
7,2025-04-17 12:00:00-04:00,4.725,5.12,4.725,4.944,10790156.0,4.91947,22702
8,2025-04-21 09:30:00-04:00,5.08,5.0972,4.4401,4.48,4994090.0,4.68188,9040
9,2025-04-21 12:00:00-04:00,4.475,4.5088,4.36,4.48,5392997.0,4.43584,11849
10,2025-04-22 09:30:00-04:00,4.58,4.65,4.48,4.55,2808597.0,4.55379,6235
11,2025-04-22 12:00:00-04:00,4.555,4.565,4.3125,4.33,4774322.0,4.40446,9702
12,2025-04-23 09:30:00-04:00,4.45,4.52,4.39,4.4701,3686691.0,4.46151,6627
13,2025-04-23 12:00:00-04:00,4.4701,4.55,4.45,4.46,3784787.0,4.48422,7699
14,2025-04-24 09:30:00-04:00,4.51,4.71,4.51,4.7054,3780043.0,4.63281,7114
15,2025-04-24 12:00:00-04:00,4.7056,4.83,4.7001,4.8,4478546.0,4.77493,7894
16,2025-04-25 09:30:00-04:00,4.75,4.7659,4.52,4.585,3401399.0,4.60469,6569
17,2025-04-25 12:00:00-04:00,4.585,4.62,4.5,4.515,3440295.0,4.54555,5695
18,2025-04-28 09:30:00-04:00,4.52,4.5999,4.41,4.445,2484236.0,4.4863,4911
19,2025-04-28 12:00:00-04:00,4.445,4.63,4.42,4.6054,3181086.0,4.53878,7226
20,2025-04-29 09:30:00-04:00,4.59,4.615,4.46,4.485,1765008.0,4.5038,3538
21,2025-04-29 12:00:00-04:00,4.4896,4.52,4.44,4.45,2028666.0,4.47067,4863
22,2025-04-30 09:30:00-04:00,4.35,4.55,4.26,4.525,2949408.0,4.41642,6350
23,2025-04-30 12:00:00-04:00,4.5201,4.62,4.5001,4.535,2944592.0,4.5622,5724
24,2025-05-01 09:30:00-04:00,4.58,4.76,4.4601,4.47,3729821.0,4.61798,7962
25,2025-05-01 12:00:00-04:00,4.48,4.59,4.43,4.54,3804580.0,4.5104,6930
26,2025-05-02 09:30:00-04:00,4.61,4.85,4.56,4.765,4417966.0,4.72997,9249
27,2025-05-02 12:00:00-04:00,4.7664,4.82,4.575,4.625,5206945.0,4.67968,10754
28,2025-05-05 09:30:00-04:00,4.65,4.65,4.37,4.51,2747935.0,4.48909,5867
29,2025-05-05 12:00:00-04:00,4.515,4.59,4.5,4.515,3493308.0,4.53977,6600
30,2025-05-06 09:30:00-04:00,4.47,4.53,4.35,4.415,2829467.0,4.41871,5199
31,2025-05-06 12:00:00-04:00,4.415,4.64,4.37,4.605,7037552.0,4.51677,13534
32,2025-05-07 09:30:00-04:00,4.58,4.78,4.53,4.7407,3318648.0,4.68212,7268
33,2025-05-07 12:00:00-04:00,4.7499,4.83,4.67,4.785,6331962.0,4.74078,10803
34,2025-05-08 09:30:00-04:00,4.8,4.9,4.6201,4.8407,4691384.0,4.7485,9196
35,2025-05-08 12:00:00-04:00,4.845,4.88,4.7,4.75,3853586.0,4.76797,9355
36,2025-05-09 09:30:00-04:00,4.87,4.87,4.6,4.6998,4223594.0,4.68587,6817
37,2025-05-09 12:00:00-04:00,4.6997,4.84,4.66,4.76,6530790.0,4.7435,12310
38,2025-05-12 09:30:00-04:00,4.8,4.9,4.6601,4.705,3067111.0,4.72913,6707
39,2025-05-12 12:00:00-04:00,4.705,4.725,4.6434,4.67,2512256.0,4.6701,5726
40,2025-05-13 09:30:00-04:00,4.7,4.7,4.56,4.605,2694657.0,4.62333,5366
41,2025-05-13 12:00:00-04:00,4.605,4.62,4.52,4.53,3062075.0,4.5677,5548
42,2025-05-14 09:30:00-04:00,4.52,4.65,4.4601,4.58,4418181.0,4.56197,7075
43,2025-05-14 12:00:00-04:00,4.5799,4.6,4.49,4.565,3576810.0,4.54405,6586
44,2025-05-15 09:30:00-04:00,4.49,4.51,4.41,4.455,2051325.0,4.45444,3795
45,2025-05-15 12:00:00-04:00,4.455,4.53,4.43,4.48,3044885.0,4.48203,5217
46,2025-05-16 09:30:00-04:00,4.42,4.4578,4.31,4.35,2559563.0,4.36196,3903
47,2025-05-16 12:00:00-04:00,4.345,4.39,4.3335,4.35,4635189.0,4.36708,6183
48,2025-05-19 09:30:00-04:00,4.32,4.36,4.2,4.325,1561761.0,4.2887,3065
49,2025-05-19 12:00:00-04:00,4.3299,4.36,4.295,4.33,1824360.0,4.32394,4676
50,2025-05-20 09:30:00-04:00,4.33,4.35,4.24,4.325,1548976.0,4.30274,2676
51,2025-05-20 12:00:00-04:00,4.325,4.41,4.315,4.39,2434218.0,4.37615,4165
52,2025-05-21 09:30:00-04:00,4.4,4.6282,4.39,4.545,3382804.0,4.53297,6554
53,2025-05-21 12:00:00-04:00,4.54,4.59,4.45,4.47,3157103.0,4.51404,4893
54,2025-05-22 09:30:00-04:00,4.48,4.53,4.36,4.5,2594853.0,4.47877,5088
55,2025-05-22 12:00:00-04:00,4.495,4.54,4.47,4.515,3600356.0,4.50593,6885
56,2025-05-23 09:30:00-04:00,5.0,5.305,4.74,5.17,16651109.0,5.11363,32301
57,2025-05-23 12:00:00-04:00,5.16,5.44,5.08,5.3709,14017839.0,5.30943,23161
58,2025-05-27 09:30:00-04:00,5.59,5.6,5.355,5.42,9256698.0,5.47899,19639
59,2025-05-27 12:00:00-04:00,5.4299,5.46,5.35,5.415,5778455.0,5.41293,10379
60,2025-05-28 09:30:00-04:00,5.4,5.5482,5.32,5.34,4933775.0,5.4301,9656
61,2025-05-28 12:00:00-04:00,5.34,5.36,5.29,5.31,4276053.0,5.31945,7916
62,2025-05-29 09:30:00-04:00,5.27,5.32,5.03,5.085,5134348.0,5.14142,10111
63,2025-05-29 12:00:00-04:00,5.085,5.09,5.0,5.055,4357496.0,5.03761,8443
64,2025-05-30 09:30:00-04:00,4.98,4.98,4.85,4.9,4470779.0,4.91864,7876
65,2025-05-30 12:00:00-04:00,4.9,4.96,4.86,4.89,3523099.0,4.9186,6646
66,2025-06-02 09:30:00-04:00,4.95,4.9954,4.88,4.8835,3261340.0,4.91885,6036
67,2025-06-02 12:00:00-04:00,4.885,4.915,4.82,4.89,2145695.0,4.87413,4440
68,2025-06-03 09:30:00-04:00,5.28,5.73,5.14,5.71,11663022.0,5.49426,23099
69,2025-06-03 12:00:00-04:00,5.7,5.74,5.48,5.565,7242245.0,5.61031,12756
70,2025-06-04 09:30:00-04:00,5.61,5.64,5.43,5.55,5434700.0,5.52997,12428
71,2025-06-04 12:00:00-04:00,5.555,5.82,5.555,5.725,6495141.0,5.71909,12524
72,2025-06-05 09:30:00-04:00,5.74,5.7596,5.38,5.56,4928991.0,5.55855,11546
73,2025-06-05 12:00:00-04:00,5.55,5.66,5.52,5.6,4381625.0,5.59181,8760
74,2025-06-06 09:30:00-04:00,5.67,5.67,5.28,5.345,5148516.0,5.42972,11109
75,2025-06-06 12:00:00-04:00,5.345,5.47,5.3,5.46,5124541.0,5.36065,10704
76,2025-06-09 09:30:00-04:00,5.56,5.9,5.52,5.75,7874589.0,5.76158,19192
77,2025-06-09 12:00:00-04:00,5.7401,5.76,5.63,5.64,5005951.0,5.69775,10568
78,2025-06-10 09:30:00-04:00,5.7,5.7,5.33,5.44,5292390.0,5.45731,10647
79,2025-06-10 12:00:00-04:00,5.43,5.44,5.3,5.375,3958324.0,5.36354,8202
80,2025-06-11 09:30:00-04:00,5.42,5.67,5.335,5.495,6090541.0,5.52175,11280
81,2025-06-11 12:00:00-04:00,5.495,5.51,5.33,5.43,6025746.0,5.41178,9230
82,2025-06-12 09:30:00-04:00,5.37,5.4,5.29,5.375,3207179.0,5.35262,5487
83,2025-06-12 12:00:00-04:00,5.38,5.43,5.32,5.389,6203820.0,5.37358,9496
84,2025-06-13 09:30:00-04:00,5.58,5.74,5.24,5.74,6432452.0,5.46221,11862
85,2025-06-13 12:00:00-04:00,5.73,5.89,5.56,5.635,8683359.0,5.73358,17751
86,2025-06-16 09:30:00-04:00,5.9,6.24,5.71,5.745,11486421.0,5.91732,25360
87,2025-06-16 12:00:00-04:00,5.75,5.9,5.69,5.79,6864219.0,5.78884,13264
88,2025-06-17 09:30:00-04:00,5.86,5.86,5.65,5.7602,4829951.0,5.74696,9776
89,2025-06-17 12:00:00-04:00,5.7694,5.91,5.71,5.87,4089883.0,5.81822,7923
90,2025-06-18 09:30:00-04:00,5.84,6.0789,5.76,5.8125,5559155.0,5.92306,11573
91,2025-06-18 12:00:00-04:00,5.815,5.85,5.66,5.78,4197828.0,5.76485,9591
92,2025-06-20 09:30:00-04:00,5.73,5.8199,5.41,5.49,5246607.0,5.51019,10193
93,2025-06-20 12:00:00-04:00,5.495,5.52,5.39,5.43,5132252.0,5.4372,10617
94,2025-06-23 09:30:00-04:00,5.4,5.6,5.33,5.52,4845307.0,5.53708,8544
95,2025-06-23 12:00:00-04:00,5.51,5.53,5.415,5.5,3294079.0,5.46298,6844
96,2025-06-24 09:30:00-04:00,5.49,5.62,5.41,5.5687,4238219.0,5.54648,8040
97,2025-06-24 12:00:00-04:00,5.56,5.74,5.52,5.65,3972744.0,5.63722,7164
98,2025-06-25 09:30:00-04:00,5.7,5.815,5.53,5.555,3243029.0,5.66336,7966
99,2025-06-25 12:00:00-04:00,5.555,5.67,5.555,5.605,4037694.0,5.6227,7043
100,2025-06-26 09:30:00-04:00,5.62,5.9,5.6,5.79,5034742.0,5.79001,9846
101,2025-06-26 12:00:00-04:00,5.795,5.98,5.795,5.895,6061119.0,5.89284,11008
102,2025-06-27 09:30:00-04:00,5.9,5.99,5.67,5.675,4316675.0,5.75025,8212
103,2025-06-27 12:00:00-04:00,5.6773,5.69,5.45,5.53,5284606.0,5.5542,9456
104,2025-06-30 09:30:00-04:00,5.55,5.69,5.45,5.69,3876569.0,5.56303,7515
105,2025-06-30 12:00:00-04:00,5.69,5.8,5.64,5.775,3814114.0,5.73576,6947
106,2025-07-01 09:30:00-04:00,5.81,5.82,5.59,5.615,2355073.0,5.71049,5445
107,2025-07-01 12:00:00-04:00,5.615,5.76,5.6146,5.745,2456192.0,5.70836,7073
108,2025-07-02 09:30:00-04:00,5.85,6.19,5.76,6.125,7201520.0,6.03061,15771
109,2025-07-02 12:00:00-04:00,6.125,6.38,6.081,6.27,7837214.0,6.26625,16180
110,2025-07-03 09:30:00-04:00,6.24,6.25,6.0533,6.1301,3889475.0,6.13479,8745
111,2025-07-03 12:00:00-04:00,6.1397,6.18,6.09,6.17,1133488.0,6.13094,3008
112,2025-07-07 09:30:00-04:00,6.01,6.14,5.79,6.12,4055688.0,5.95908,8539
113,2025-07-07 12:00:00-04:00,6.12,6.17,6.09,6.16,3009806.0,6.13195,7436
114,2025-07-08 09:30:00-04:00,6.15,6.17,5.81,5.815,3300586.0,5.93867,6745
115,2025-07-08 12:00:00-04:00,5.8199,6.0,5.78,5.835,3434939.0,5.8644,7128
116,2025-07-09 09:30:00-04:00,5.85,5.875,5.65,5.7,2521190.0,5.72075,5440
117,2025-07-09 12:00:00-04:00,5.705,5.71,5.57,5.585,3471989.0,5.63133,7339
118,2025-07-10 09:30:00-04:00,6.05,6.7,6.0,6.545,19997594.0,6.45738,47218
119,2025-07-10 12:00:00-04:00,6.55,6.5993,6.315,6.51,8819108.0,6.46432,14722
120,2025-07-11 09:30:00-04:00,6.34,6.47,6.13,6.465,6387616.0,6.30368,15601
121,2025-07-11 12:00:00-04:00,6.465,6.68,6.4,6.61,7837944.0,6.56757,15595
122,2025-07-14 09:30:00-04:00,6.6,6.63,6.43,6.515,4882414.0,6.53066,9991
123,2025-07-14 12:00:00-04:00,6.51,7.02,6.46,7.005,9355621.0,6.82121,17578
