,date,open,high,low,close,volume,average,barCount
0,2025-04-14,9.36,9.44,9.23,9.27,33773188.0,9.34,36075
1,2025-04-15,9.31,9.34,9.1,9.13,21526069.0,9.165,27153
2,2025-04-16,9.02,9.08,8.93,9.0,23154686.0,9.015,26779
3,2025-04-17,9.0,9.2,8.98,9.11,23928828.0,9.107,34985
4,2025-04-21,9.13,9.17,9.04,9.12,19922773.0,9.1,24397
5,2025-04-22,9.19,9.51,9.17,9.44,39338844.0,9.403,34027
6,2025-04-23,9.68,9.78,9.54,9.55,27262683.0,9.641,29739
7,2025-04-24,9.71,9.82,9.65,9.75,27689412.0,9.755,27628
8,2025-04-25,9.55,9.59,9.44,9.5,29388599.0,9.511,37644
9,2025-04-28,9.51,9.62,9.48,9.6,20331633.0,9.547,21696
10,2025-04-29,9.61,9.63,9.55,9.6,22848714.0,9.604,27736
11,2025-04-30,9.33,9.43,9.29,9.31,27000950.0,9.348,32808
12,2025-05-01,9.31,9.39,9.18,9.24,16447279.0,9.254,22626
13,2025-05-02,9.44,9.52,9.32,9.37,19687541.0,9.408,21113
14,2025-05-05,9.42,9.43,9.3,9.31,15246543.0,9.351,17372
15,2025-05-06,9.35,9.4,9.3,9.31,15573174.0,9.342,18476
16,2025-05-07,9.34,9.34,9.17,9.22,18639102.0,9.237,24464
17,2025-05-08,9.31,9.43,9.27,9.3,26419205.0,9.327,32630
18,2025-05-09,9.35,9.39,9.3,9.36,18038455.0,9.351,22001
19,2025-05-12,9.71,9.77,9.54,9.6,22445688.0,9.622,24767
20,2025-05-13,9.66,9.92,9.65,9.88,28754915.0,9.824,28470
21,2025-05-14,9.92,9.93,9.76,9.79,23628541.0,9.825,29502
22,2025-05-15,9.81,9.89,9.76,9.81,24853696.0,9.819,24275
23,2025-05-16,9.68,9.85,9.62,9.8,19957782.0,9.729,23311
24,2025-05-19,9.7,9.86,9.7,9.83,22014167.0,9.802,26086
25,2025-05-20,9.8,9.82,9.71,9.78,14584623.0,9.77,18139
26,2025-05-21,9.78,9.78,9.64,9.65,21335541.0,9.703,22403
27,2025-05-22,9.63,9.75,9.55,9.58,32566747.0,9.643,34548
28,2025-05-23,9.43,9.63,9.42,9.6,28635012.0,9.558,28224
29,2025-05-27,9.54,9.58,9.48,9.54,20018120.0,9.519,20692
30,2025-05-28,9.46,9.46,9.33,9.37,27929605.0,9.388,29014
31,2025-05-29,9.48,9.51,9.41,9.44,24376938.0,9.458,23593
32,2025-05-30,9.37,9.37,9.11,9.13,38018320.0,9.205,29940
33,2025-06-02,9.26,9.31,9.21,9.27,22504018.0,9.26,29827
34,2025-06-03,9.19,9.35,9.12,9.31,24556834.0,9.268,23462
35,2025-06-04,9.39,9.51,9.35,9.35,28627294.0,9.429,24090
36,2025-06-05,9.54,9.62,9.47,9.5,29633631.0,9.563,27030
37,2025-06-06,9.51,9.55,9.41,9.49,27296973.0,9.485,30884
38,2025-06-09,9.5,9.58,9.42,9.58,32283820.0,9.501,24795
39,2025-06-10,9.6,9.74,9.59,9.66,28859570.0,9.672,29552
40,2025-06-11,9.66,9.7,9.55,9.61,26367897.0,9.633,24157
41,2025-06-12,9.54,9.6,9.48,9.54,22109172.0,9.546,21144
42,2025-06-13,9.39,9.48,9.36,9.46,23836173.0,9.421,20176
43,2025-06-16,9.54,9.86,9.53,9.82,43018259.0,9.787,41991
44,2025-06-17,9.75,9.77,9.33,9.35,90160255.0,9.517,66755
45,2025-06-18,9.4,9.46,9.28,9.3,30182597.0,9.368,28629
46,2025-06-20,9.28,9.28,9.02,9.06,59830861.0,9.118,56500
47,2025-06-23,9.05,9.19,9.01,9.18,36864292.0,9.09,36370
48,2025-06-24,9.18,9.21,9.12,9.21,30472597.0,9.172,25901
49,2025-06-25,9.05,9.12,8.97,9.06,36819243.0,9.047,30422
50,2025-06-26,9.28,9.5,9.27,9.47,64402586.0,9.445,44598
