,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,9.36,9.44,9.23,9.27,16045958.0,9.357,15883
1,2025-04-14 12:00:00-04:00,9.27,9.39,9.24,9.27,17727230.0,9.324,20192
2,2025-04-15 09:30:00-04:00,9.31,9.34,9.13,9.17,9914608.0,9.193,12205
3,2025-04-15 12:00:00-04:00,9.17,9.19,9.1,9.13,11611461.0,9.141,14948
4,2025-04-16 09:30:00-04:00,9.02,9.07,8.98,9.04,8899634.0,9.02,10425
5,2025-04-16 12:00:00-04:00,9.03,9.08,8.93,9.01,14255052.0,9.012,16354
6,2025-04-17 09:30:00-04:00,9.0,9.12,8.98,9.11,9664902.0,9.056,12439
7,2025-04-17 12:00:00-04:00,9.11,9.2,9.08,9.1,14263926.0,9.142,22546
8,2025-04-21 09:30:00-04:00,9.13,9.17,9.06,9.08,5677029.0,9.106,8973
9,2025-04-21 12:00:00-04:00,9.08,9.15,9.04,9.12,14245744.0,9.097,15424
10,2025-04-22 09:30:00-04:00,9.19,9.4,9.17,9.39,11537578.0,9.3,11455
11,2025-04-22 12:00:00-04:00,9.39,9.51,9.34,9.44,27801266.0,9.446,22572
12,2025-04-23 09:30:00-04:00,9.68,9.78,9.55,9.61,15335676.0,9.686,15111
13,2025-04-23 12:00:00-04:00,9.61,9.62,9.54,9.54,11927007.0,9.583,14628
14,2025-04-24 09:30:00-04:00,9.71,9.78,9.65,9.77,9206023.0,9.72,9120
15,2025-04-24 12:00:00-04:00,9.78,9.82,9.73,9.75,18483389.0,9.773,18508
16,2025-04-25 09:30:00-04:00,9.55,9.59,9.48,9.55,10952656.0,9.534,15056
17,2025-04-25 12:00:00-04:00,9.55,9.57,9.44,9.5,18435943.0,9.497,22588
18,2025-04-28 09:30:00-04:00,9.51,9.58,9.48,9.52,9499217.0,9.526,8981
19,2025-04-28 12:00:00-04:00,9.52,9.62,9.5,9.62,10832416.0,9.566,12715
20,2025-04-29 09:30:00-04:00,9.61,9.63,9.55,9.6,8817799.0,9.593,9369
21,2025-04-29 12:00:00-04:00,9.61,9.63,9.58,9.61,14030915.0,9.611,18367
22,2025-04-30 09:30:00-04:00,9.33,9.43,9.31,9.39,11468494.0,9.36,13106
23,2025-04-30 12:00:00-04:00,9.39,9.4,9.29,9.3,15532456.0,9.338,19702
24,2025-05-01 09:30:00-04:00,9.31,9.39,9.2,9.24,7596154.0,9.281,9962
25,2025-05-01 12:00:00-04:00,9.24,9.28,9.18,9.25,8851125.0,9.232,12664
26,2025-05-02 09:30:00-04:00,9.44,9.52,9.36,9.37,9451391.0,9.445,9427
27,2025-05-02 12:00:00-04:00,9.37,9.42,9.32,9.37,10236150.0,9.375,11686
28,2025-05-05 09:30:00-04:00,9.42,9.43,9.35,9.37,7230624.0,9.375,7754
29,2025-05-05 12:00:00-04:00,9.37,9.37,9.3,9.31,8015919.0,9.33,9618
30,2025-05-06 09:30:00-04:00,9.35,9.4,9.3,9.35,6768111.0,9.347,8519
31,2025-05-06 12:00:00-04:00,9.35,9.38,9.3,9.31,8805063.0,9.339,9957
32,2025-05-07 09:30:00-04:00,9.34,9.34,9.21,9.26,5725169.0,9.258,7681
33,2025-05-07 12:00:00-04:00,9.26,9.3,9.17,9.22,12913933.0,9.228,16783
34,2025-05-08 09:30:00-04:00,9.31,9.43,9.27,9.36,14089819.0,9.325,16409
35,2025-05-08 12:00:00-04:00,9.35,9.38,9.29,9.29,12329386.0,9.329,16221
36,2025-05-09 09:30:00-04:00,9.35,9.39,9.3,9.37,9175421.0,9.345,10338
37,2025-05-09 12:00:00-04:00,9.36,9.39,9.31,9.37,8863034.0,9.357,11663
38,2025-05-12 09:30:00-04:00,9.71,9.77,9.57,9.58,11924871.0,9.654,12302
39,2025-05-12 12:00:00-04:00,9.59,9.62,9.54,9.61,10520817.0,9.586,12465
40,2025-05-13 09:30:00-04:00,9.66,9.86,9.65,9.86,14708705.0,9.78,11318
41,2025-05-13 12:00:00-04:00,9.86,9.92,9.83,9.88,14046210.0,9.871,17152
42,2025-05-14 09:30:00-04:00,9.92,9.93,9.81,9.84,11676231.0,9.846,14020
43,2025-05-14 12:00:00-04:00,9.84,9.85,9.76,9.79,11952310.0,9.804,15482
44,2025-05-15 09:30:00-04:00,9.81,9.88,9.77,9.88,10488154.0,9.81,10006
45,2025-05-15 12:00:00-04:00,9.88,9.89,9.76,9.82,14365542.0,9.826,14269
46,2025-05-16 09:30:00-04:00,9.68,9.73,9.62,9.71,9432721.0,9.663,9689
47,2025-05-16 12:00:00-04:00,9.71,9.85,9.7,9.79,10525061.0,9.789,13622
48,2025-05-19 09:30:00-04:00,9.7,9.84,9.7,9.84,11546196.0,9.781,11386
49,2025-05-19 12:00:00-04:00,9.84,9.86,9.8,9.82,10467971.0,9.825,14700
50,2025-05-20 09:30:00-04:00,9.8,9.82,9.78,9.8,4446393.0,9.801,4930
51,2025-05-20 12:00:00-04:00,9.79,9.81,9.71,9.78,10138230.0,9.756,13209
52,2025-05-21 09:30:00-04:00,9.78,9.78,9.72,9.74,5925664.0,9.749,6212
53,2025-05-21 12:00:00-04:00,9.75,9.76,9.64,9.66,15409877.0,9.685,16191
54,2025-05-22 09:30:00-04:00,9.63,9.67,9.58,9.63,12175312.0,9.634,12814
55,2025-05-22 12:00:00-04:00,9.63,9.75,9.55,9.56,20391435.0,9.648,21734
56,2025-05-23 09:30:00-04:00,9.43,9.6,9.42,9.56,12680978.0,9.521,14029
57,2025-05-23 12:00:00-04:00,9.57,9.63,9.55,9.6,15954034.0,9.587,14195
58,2025-05-27 09:30:00-04:00,9.54,9.58,9.48,9.51,9093272.0,9.522,9850
59,2025-05-27 12:00:00-04:00,9.51,9.55,9.48,9.54,10924848.0,9.516,10842
60,2025-05-28 09:30:00-04:00,9.46,9.46,9.35,9.35,9727123.0,9.397,10449
61,2025-05-28 12:00:00-04:00,9.36,9.42,9.33,9.37,18202482.0,9.383,18565
62,2025-05-29 09:30:00-04:00,9.48,9.51,9.41,9.45,8472719.0,9.461,8748
63,2025-05-29 12:00:00-04:00,9.45,9.49,9.41,9.43,15904219.0,9.457,14845
64,2025-05-30 09:30:00-04:00,9.37,9.37,9.2,9.22,16943382.0,9.26,12962
65,2025-05-30 12:00:00-04:00,9.22,9.23,9.11,9.12,21074938.0,9.161,16978
66,2025-06-02 09:30:00-04:00,9.26,9.31,9.22,9.23,12325754.0,9.269,14466
67,2025-06-02 12:00:00-04:00,9.23,9.29,9.21,9.28,10178264.0,9.25,15361
68,2025-06-03 09:30:00-04:00,9.19,9.28,9.12,9.28,11245474.0,9.224,11584
69,2025-06-03 12:00:00-04:00,9.28,9.35,9.26,9.31,13311360.0,9.305,11878
70,2025-06-04 09:30:00-04:00,9.39,9.51,9.38,9.44,15112881.0,9.466,11654
71,2025-06-04 12:00:00-04:00,9.45,9.45,9.35,9.36,13514413.0,9.388,12436
72,2025-06-05 09:30:00-04:00,9.54,9.62,9.52,9.6,14965303.0,9.585,12271
73,2025-06-05 12:00:00-04:00,9.6,9.61,9.47,9.48,14668328.0,9.539,14759
74,2025-06-06 09:30:00-04:00,9.51,9.55,9.41,9.5,14439570.0,9.476,11168
75,2025-06-06 12:00:00-04:00,9.5,9.53,9.46,9.5,12857403.0,9.495,19716
76,2025-06-09 09:30:00-04:00,9.5,9.52,9.42,9.49,17276055.0,9.47,12083
77,2025-06-09 12:00:00-04:00,9.49,9.58,9.48,9.58,15007765.0,9.537,12712
78,2025-06-10 09:30:00-04:00,9.6,9.74,9.59,9.69,15868025.0,9.68,14973
79,2025-06-10 12:00:00-04:00,9.69,9.71,9.62,9.66,12991545.0,9.662,14579
80,2025-06-11 09:30:00-04:00,9.66,9.7,9.55,9.65,10841507.0,9.656,8284
81,2025-06-11 12:00:00-04:00,9.66,9.67,9.57,9.61,15526390.0,9.618,15873
82,2025-06-12 09:30:00-04:00,9.54,9.6,9.48,9.55,9529895.0,9.552,8080
83,2025-06-12 12:00:00-04:00,9.55,9.57,9.51,9.54,12579277.0,9.542,13064
84,2025-06-13 09:30:00-04:00,9.39,9.48,9.36,9.45,11907031.0,9.403,8660
85,2025-06-13 12:00:00-04:00,9.45,9.48,9.39,9.46,11929142.0,9.438,11516
86,2025-06-16 09:30:00-04:00,9.54,9.84,9.53,9.76,21496706.0,9.766,20252
87,2025-06-16 12:00:00-04:00,9.75,9.86,9.74,9.79,21521553.0,9.808,21739
88,2025-06-17 09:30:00-04:00,9.75,9.77,9.46,9.46,46517679.0,9.616,30930
89,2025-06-17 12:00:00-04:00,9.46,9.54,9.33,9.36,43642576.0,9.412,35825
90,2025-06-18 09:30:00-04:00,9.4,9.46,9.34,9.38,12257046.0,9.403,10291
91,2025-06-18 12:00:00-04:00,9.38,9.41,9.28,9.29,17925551.0,9.345,18338
92,2025-06-20 09:30:00-04:00,9.28,9.28,9.08,9.13,21294856.0,9.154,17888
93,2025-06-20 12:00:00-04:00,9.13,9.18,9.02,9.05,38536005.0,9.098,38612
94,2025-06-23 09:30:00-04:00,9.05,9.11,9.01,9.05,14527313.0,9.059,15598
95,2025-06-23 12:00:00-04:00,9.05,9.19,9.04,9.18,22336979.0,9.11,20772
96,2025-06-24 09:30:00-04:00,9.18,9.2,9.12,9.18,13182030.0,9.171,11571
97,2025-06-24 12:00:00-04:00,9.18,9.21,9.13,9.21,17290567.0,9.172,14330
98,2025-06-25 09:30:00-04:00,9.05,9.08,8.97,9.04,18794301.0,9.021,14270
99,2025-06-25 12:00:00-04:00,9.04,9.12,9.03,9.05,18024942.0,9.075,16152
