,date,open,high,low,close,volume,average,barCount
0,2025-04-14,12.83,13.06,12.36,12.42,4902370.0,12.655,25754
1,2025-04-15,12.45,12.82,12.4,12.57,2943104.0,12.65,14618
2,2025-04-16,12.3,12.53,12.14,12.39,2617324.0,12.385,13056
3,2025-04-17,12.62,12.69,12.42,12.46,2210219.0,12.509,11200
4,2025-04-21,12.51,12.59,12.21,12.29,2075007.0,12.326,12180
5,2025-04-22,12.43,13.1,12.35,12.78,3686374.0,12.8,18223
6,2025-04-23,13.12,13.56,12.82,12.93,3148009.0,13.108,15277
7,2025-04-24,12.8,13.24,12.52,13.07,2657253.0,13.017,14702
8,2025-04-25,13.08,13.26,13.0,13.24,2017336.0,13.185,10364
9,2025-04-28,13.25,13.82,13.25,13.66,1888218.0,13.629,11133
10,2025-04-29,13.59,13.84,13.55,13.72,2113078.0,13.758,10361
11,2025-04-30,13.63,13.67,13.5,13.62,1322227.0,13.594,7639
12,2025-05-01,13.69,13.71,13.42,13.55,2041166.0,13.554,9794
13,2025-05-02,13.89,14.36,13.85,14.24,1848968.0,14.201,10839
14,2025-05-05,14.12,14.4,14.09,14.25,2179455.0,14.285,13164
15,2025-05-06,14.25,14.64,14.23,14.52,2609886.0,14.513,14215
16,2025-05-07,14.4,14.52,14.18,14.19,2860533.0,14.279,15711
17,2025-05-08,14.37,14.39,13.56,14.02,2784138.0,13.962,16321
18,2025-05-09,14.04,14.2,13.76,13.83,2565968.0,13.865,13180
19,2025-05-12,14.57,14.96,14.44,14.8,3061163.0,14.753,18297
20,2025-05-13,14.68,15.0,14.6,14.84,2435644.0,14.882,13570
21,2025-05-14,14.92,15.02,14.78,14.86,1781357.0,14.902,10576
22,2025-05-15,14.52,14.7,14.4,14.5,1677966.0,14.522,10882
23,2025-05-16,14.84,15.74,14.65,15.33,7102289.0,15.18,25969
24,2025-05-19,15.25,15.56,15.19,15.47,2844753.0,15.408,12912
25,2025-05-20,14.19,15.31,14.19,14.36,4150029.0,14.676,19913
26,2025-05-21,14.4,14.68,14.33,14.44,2053064.0,14.469,8103
27,2025-05-22,14.51,14.75,14.4,14.55,2103661.0,14.584,12682
28,2025-05-23,14.3,14.51,14.24,14.36,1698482.0,14.422,7880
29,2025-05-27,14.05,14.29,13.85,14.09,3340115.0,14.096,17764
30,2025-05-28,14.01,14.31,14.0,14.06,2055869.0,14.164,10656
31,2025-05-29,14.43,14.44,14.11,14.11,3156209.0,14.273,15571
32,2025-05-30,13.91,13.91,13.35,13.79,3904045.0,13.765,18112
33,2025-06-02,13.91,14.27,13.73,14.17,2450809.0,14.132,12747
34,2025-06-03,14.13,14.43,14.09,14.19,2197954.0,14.272,11142
35,2025-06-04,14.28,14.59,14.22,14.38,3175471.0,14.434,14964
36,2025-06-05,14.57,14.7,14.4,14.47,2370701.0,14.554,12956
37,2025-06-06,14.21,14.67,14.09,14.63,2173048.0,14.52,12152
38,2025-06-09,14.92,15.09,14.64,15.05,2051416.0,14.981,8855
39,2025-06-10,14.98,15.09,14.83,15.05,1527089.0,15.018,8433
40,2025-06-11,15.19,15.23,14.95,15.0,1705855.0,15.021,7281
41,2025-06-12,14.93,15.03,14.75,14.96,1829606.0,14.983,9328
42,2025-06-13,14.69,15.03,14.59,14.82,2216466.0,14.917,11209
43,2025-06-16,15.0,15.22,14.88,15.02,1248576.0,15.08,6118
44,2025-06-17,14.97,15.07,14.82,14.85,2191240.0,14.941,10700
45,2025-06-18,14.75,14.96,14.62,14.72,2215057.0,14.833,11565
46,2025-06-20,15.0,15.0,14.61,14.87,2056356.0,14.822,11428
47,2025-06-23,14.74,14.81,14.21,14.63,3341296.0,14.546,14275
48,2025-06-24,14.79,15.04,14.74,15.03,1821850.0,14.985,9254
49,2025-06-25,14.99,15.03,14.55,14.81,2960465.0,14.769,17127
50,2025-06-26,14.98,14.98,14.7,14.81,2963126.0,14.792,13417
