,date,open,high,low,close,volume,average,barCount
0,2025-04-14,117.31,118.2,110.51,112.69,3217704.0,113.046,17466
1,2025-04-15,113.01,116.35,112.37,115.75,2660248.0,115.111,16313
2,2025-04-16,112.51,117.62,111.95,115.87,4137427.0,115.294,22714
3,2025-04-17,117.83,120.18,114.0,115.42,3145661.0,116.566,17861
4,2025-04-21,112.52,114.0,103.33,106.52,4057640.0,106.22,24217
5,2025-04-22,109.5,113.7,108.59,112.63,3060347.0,111.778,19633
6,2025-04-23,122.0,125.58,118.33,120.0,4483777.0,121.525,25892
7,2025-04-24,120.77,126.29,120.51,124.23,3636019.0,123.681,19585
8,2025-04-25,124.38,128.24,123.52,126.64,2694731.0,126.878,16091
9,2025-04-28,126.25,129.96,125.8,129.62,2555320.0,127.942,16551
10,2025-04-29,128.58,130.41,126.42,129.33,2672522.0,129.09,16191
11,2025-04-30,125.09,130.02,122.3,129.63,2263316.0,127.019,13784
12,2025-05-01,137.67,140.53,135.81,137.3,6649261.0,138.35,42151
13,2025-05-02,138.92,141.11,137.73,139.28,3073040.0,139.609,19724
14,2025-05-05,136.59,141.09,135.68,140.0,3239043.0,139.279,21504
15,2025-05-06,138.48,146.88,137.44,144.8,6500401.0,144.189,39446
16,2025-05-07,137.63,140.98,133.95,139.5,7950433.0,137.348,48861
17,2025-05-08,141.19,143.28,137.44,140.91,4584471.0,141.118,26401
18,2025-05-09,140.95,141.26,133.73,135.75,3245786.0,135.696,19458
19,2025-05-12,145.4,147.47,143.01,146.09,5220483.0,145.454,30302
20,2025-05-13,144.16,156.99,144.07,155.0,5622491.0,153.827,31907
21,2025-05-14,156.5,157.0,152.54,154.72,3089848.0,154.31,20629
22,2025-05-15,151.0,154.09,150.84,152.06,2334064.0,152.509,13890
23,2025-05-16,156.24,157.48,154.51,156.62,3637941.0,156.152,21180
24,2025-05-19,150.38,157.65,150.37,157.32,2891491.0,155.986,18204
25,2025-05-20,157.0,158.24,155.67,157.03,1787844.0,157.094,10920
26,2025-05-21,154.94,156.51,150.92,152.07,2387893.0,153.644,14836
27,2025-05-22,152.3,155.11,149.58,154.72,2493735.0,153.201,16231
28,2025-05-23,156.56,159.43,154.65,158.16,4423235.0,157.298,25776
29,2025-05-27,160.0,163.87,157.18,163.86,4053058.0,161.273,26628
30,2025-05-28,164.4,165.74,161.42,162.36,2752007.0,163.094,18023
31,2025-05-29,165.94,166.0,158.77,159.73,2074202.0,160.981,13040
32,2025-05-30,158.97,160.6,157.07,160.57,2214466.0,159.446,14992
33,2025-06-02,160.6,169.29,160.59,167.47,3291411.0,166.318,20192
34,2025-06-03,175.0,178.35,171.86,176.0,6400948.0,175.647,35848
35,2025-06-04,176.0,177.39,171.89,172.69,3062217.0,174.075,18683
36,2025-06-05,173.42,173.91,169.56,170.87,2590869.0,171.853,15983
37,2025-06-06,173.5,173.95,170.24,173.62,1897489.0,172.45,12768
38,2025-06-09,173.67,174.0,168.41,169.37,1975299.0,171.378,13401
39,2025-06-10,170.1,170.63,160.18,164.65,5225317.0,163.849,33706
40,2025-06-11,168.03,169.5,165.54,166.79,2117362.0,167.232,13490
41,2025-06-12,165.27,173.9,164.67,173.87,2665879.0,171.763,16160
42,2025-06-13,171.51,175.95,170.65,173.75,2537421.0,173.65,16246
43,2025-06-16,175.57,179.14,175.57,177.2,2233205.0,177.827,12996
44,2025-06-17,179.01,181.2,175.3,177.75,2426722.0,178.232,15403
45,2025-06-18,177.0,182.06,175.21,181.13,3036685.0,180.114,20907
46,2025-06-20,180.9,185.5,178.76,185.1,3410058.0,183.248,16695
47,2025-06-23,184.24,187.57,179.94,186.55,2231516.0,184.778,13310
48,2025-06-24,188.13,189.37,184.89,186.17,2598067.0,187.019,16591
49,2025-06-25,188.02,190.6,185.95,186.32,2154895.0,187.638,14097
50,2025-06-26,187.85,191.28,185.0,190.4,2044202.0,189.393,11866
51,2025-06-27,192.0,198.2,189.11,195.04,4661372.0,194.74,27640
52,2025-06-30,197.5,197.5,192.17,193.81,2298432.0,194.273,14666
53,2025-07-01,192.82,193.47,180.51,185.1,3925592.0,185.593,23551
