,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,117.31,118.2,110.51,111.23,1510270.0,113.958,6855
1,2025-04-14 12:00:00-04:00,111.12,113.36,110.65,112.65,1707434.0,112.239,10611
2,2025-04-15 09:30:00-04:00,113.01,116.2,112.37,114.98,1097781.0,114.575,6547
3,2025-04-15 12:00:00-04:00,114.9,116.35,114.28,115.77,1562467.0,115.487,9766
4,2025-04-16 09:30:00-04:00,112.51,117.62,111.95,116.75,1387896.0,114.868,7289
5,2025-04-16 12:00:00-04:00,116.84,117.3,114.12,115.88,2749531.0,115.508,15425
6,2025-04-17 09:30:00-04:00,117.83,120.18,114.0,116.04,1651714.0,116.946,8155
7,2025-04-17 12:00:00-04:00,116.17,117.62,114.72,115.34,1493947.0,116.146,9706
8,2025-04-21 09:30:00-04:00,112.52,114.0,105.72,106.08,1343657.0,108.687,8054
9,2025-04-21 12:00:00-04:00,106.07,106.69,103.33,106.5,2713983.0,104.999,16163
10,2025-04-22 09:30:00-04:00,109.5,112.72,108.59,111.57,1363428.0,110.545,8649
11,2025-04-22 12:00:00-04:00,111.64,113.7,111.41,112.6,1696919.0,112.769,10984
12,2025-04-23 09:30:00-04:00,122.0,125.58,119.23,119.92,2683915.0,122.697,15021
13,2025-04-23 12:00:00-04:00,120.0,121.33,118.33,119.93,1799862.0,119.778,10871
14,2025-04-24 09:30:00-04:00,120.77,123.22,120.51,122.65,1518403.0,122.082,7873
15,2025-04-24 12:00:00-04:00,122.74,126.29,122.63,124.18,2117616.0,124.827,11712
16,2025-04-25 09:30:00-04:00,124.38,128.24,123.52,126.34,1427806.0,126.72,7975
17,2025-04-25 12:00:00-04:00,126.28,128.2,125.67,126.6,1266925.0,127.055,8116
18,2025-04-28 09:30:00-04:00,126.25,128.62,125.8,127.31,1250600.0,127.294,7441
19,2025-04-28 12:00:00-04:00,127.25,129.96,126.21,129.61,1304720.0,128.563,9110
20,2025-04-29 09:30:00-04:00,128.58,129.88,126.42,129.56,1091035.0,128.322,6389
21,2025-04-29 12:00:00-04:00,129.63,130.41,128.84,129.3,1581487.0,129.62,9802
22,2025-04-30 09:30:00-04:00,125.09,128.39,122.3,128.06,1112531.0,125.314,6262
23,2025-04-30 12:00:00-04:00,128.07,130.02,127.38,129.6,1150785.0,128.668,7522
24,2025-05-01 09:30:00-04:00,137.67,140.53,135.81,138.4,3997447.0,138.526,23942
25,2025-05-01 12:00:00-04:00,138.43,139.35,137.05,137.29,2651814.0,138.084,18209
26,2025-05-02 09:30:00-04:00,138.92,140.87,137.73,139.91,1357329.0,139.418,7928
27,2025-05-02 12:00:00-04:00,139.89,141.11,138.52,139.26,1715711.0,139.76,11796
28,2025-05-05 09:30:00-04:00,136.59,139.96,135.68,138.91,1408894.0,138.015,8710
29,2025-05-05 12:00:00-04:00,138.94,141.09,138.91,140.09,1830149.0,140.252,12794
30,2025-05-06 09:30:00-04:00,138.48,144.89,137.44,144.47,3104646.0,143.006,16876
31,2025-05-06 12:00:00-04:00,144.53,146.88,143.07,144.86,3395755.0,145.271,22570
32,2025-05-07 09:30:00-04:00,137.63,140.98,133.95,137.44,4628872.0,137.167,26985
33,2025-05-07 12:00:00-04:00,137.4,139.56,135.61,139.46,3321561.0,137.6,21876
34,2025-05-08 09:30:00-04:00,141.19,142.94,137.44,142.24,2303895.0,140.552,12830
35,2025-05-08 12:00:00-04:00,142.25,143.28,140.67,140.99,2280576.0,141.69,13571
36,2025-05-09 09:30:00-04:00,140.95,141.26,134.81,136.22,1116846.0,137.0,6050
37,2025-05-09 12:00:00-04:00,136.29,136.3,133.73,135.73,2128940.0,135.011,13408
38,2025-05-12 09:30:00-04:00,145.4,147.47,143.01,144.93,2442994.0,144.823,13121
39,2025-05-12 12:00:00-04:00,144.93,147.27,144.6,146.14,2777489.0,146.009,17181
40,2025-05-13 09:30:00-04:00,144.16,156.49,144.07,155.14,2818671.0,151.826,14666
41,2025-05-13 12:00:00-04:00,155.21,156.99,154.65,154.99,2803820.0,155.838,17241
42,2025-05-14 09:30:00-04:00,156.5,157.0,152.54,153.47,1612533.0,154.18,9690
43,2025-05-14 12:00:00-04:00,153.47,155.15,153.38,154.74,1477315.0,154.452,10939
44,2025-05-15 09:30:00-04:00,151.0,153.59,150.84,152.53,1066181.0,152.212,5260
45,2025-05-15 12:00:00-04:00,152.54,154.09,151.49,152.1,1267883.0,152.759,8630
