,date,open,high,low,close,volume,average,barCount
0,2025-04-14,8.1,8.33,7.98,8.02,32356674.0,8.089,72256
1,2025-04-15,8.02,8.32,7.98,8.25,31277389.0,8.219,58270
2,2025-04-16,8.27,8.34,7.77,7.92,42517939.0,7.984,64341
3,2025-04-17,8.01,8.19,7.95,8.11,25016920.0,8.075,44864
4,2025-04-21,8.03,8.11,7.75,7.94,21750587.0,7.877,39421
5,2025-04-22,8.05,8.13,7.91,7.95,32861149.0,7.999,57037
6,2025-04-23,8.32,8.78,8.28,8.33,48350957.0,8.493,90358
7,2025-04-24,8.32,8.64,8.26,8.5,23979005.0,8.53,40458
8,2025-04-25,8.5,8.66,8.43,8.59,20467373.0,8.565,34835
9,2025-04-28,8.59,8.88,8.53,8.7,32885643.0,8.701,51425
10,2025-04-29,8.64,8.84,8.59,8.77,22003752.0,8.726,40111
11,2025-04-30,8.6,8.7,8.28,8.67,29102634.0,8.502,52589
12,2025-05-01,8.7,8.7,8.31,8.43,39348141.0,8.486,64612
13,2025-05-02,8.52,8.67,8.43,8.54,27013396.0,8.562,42825
14,2025-05-05,8.17,8.53,8.07,8.37,34225787.0,8.422,63841
15,2025-05-06,8.19,8.46,8.13,8.43,30876037.0,8.369,63747
16,2025-05-07,8.5,8.65,8.43,8.56,42305712.0,8.551,65736
17,2025-05-08,8.16,9.3,8.06,9.01,57860574.0,8.855,137114
18,2025-05-09,9.01,9.29,8.91,9.07,23021969.0,9.11,50113
19,2025-05-12,9.54,9.79,9.2,9.23,39245053.0,9.351,68146
20,2025-05-13,9.28,9.35,9.14,9.18,28313582.0,9.219,45141
21,2025-05-14,9.12,9.21,9.02,9.21,24945846.0,9.11,49572
22,2025-05-15,9.11,9.25,9.05,9.14,18998755.0,9.157,37932
23,2025-05-16,9.12,9.19,8.82,9.16,25443885.0,9.065,44945
24,2025-05-19,9.03,9.07,8.84,9.05,27893376.0,8.979,45401
25,2025-05-20,9.06,9.34,8.98,9.23,33523562.0,9.194,43271
26,2025-05-21,9.1,9.18,8.88,8.95,41083225.0,9.047,52530
27,2025-05-22,8.96,9.06,8.83,9.02,24762796.0,8.937,39005
28,2025-05-23,8.86,9.05,8.84,9.0,18524636.0,8.953,29847
