,date,open,high,low,close,volume,average,barCount
0,2025-04-14,36.53,36.62,35.28,35.82,7110516.0,35.891,37897
1,2025-04-15,35.81,36.33,35.48,35.93,3573652.0,36.0,22026
2,2025-04-16,35.77,36.25,35.0,35.62,4422847.0,35.6,22288
3,2025-04-17,36.18,36.7,35.51,36.51,5160854.0,36.144,26468
4,2025-04-21,36.09,36.28,35.51,35.96,3796951.0,35.804,19888
5,2025-04-22,36.36,37.0,35.98,36.68,2939529.0,36.565,17128
6,2025-04-23,38.37,39.1,37.47,37.7,3140240.0,38.181,19819
7,2025-04-24,38.22,40.36,38.19,40.17,3528990.0,39.906,20376
8,2025-04-25,40.2,41.07,39.9,40.78,2681024.0,40.607,15011
9,2025-04-28,40.7,41.13,40.18,40.91,3570372.0,40.736,18965
10,2025-04-29,40.71,41.25,40.58,40.62,4318318.0,40.822,28045
11,2025-04-30,42.98,44.07,41.83,43.86,9068910.0,43.035,46653
12,2025-05-01,44.87,45.15,43.86,43.95,4989036.0,44.426,30447
13,2025-05-02,44.99,45.38,44.48,44.69,4758661.0,44.855,28219
14,2025-05-05,43.95,45.61,43.95,45.03,4482921.0,45.109,25933
15,2025-05-06,44.58,44.91,44.11,44.29,2936136.0,44.509,18223
16,2025-05-07,44.41,44.66,43.6,44.3,3910929.0,44.145,21009
17,2025-05-08,44.93,45.13,44.17,44.3,2953793.0,44.558,18537
18,2025-05-09,44.55,45.23,43.88,44.1,3000881.0,44.274,16981
19,2025-05-12,46.86,47.49,46.39,46.57,4281058.0,46.789,24955
20,2025-05-13,47.05,49.87,46.68,49.01,5494194.0,48.695,33688
21,2025-05-14,48.83,49.84,48.57,49.2,5054094.0,49.271,29319
22,2025-05-15,49.09,49.77,48.81,49.75,5823432.0,49.398,26452
23,2025-05-16,49.99,50.27,49.54,49.99,2875329.0,50.034,16304
24,2025-05-19,49.04,50.8,49.02,50.72,3222546.0,50.337,21158
25,2025-05-20,50.79,51.59,50.35,50.63,3398268.0,50.994,18125
26,2025-05-21,50.13,51.26,49.32,49.49,4032726.0,50.354,22310
27,2025-05-22,49.56,51.09,49.28,49.84,3661564.0,50.278,24009
28,2025-05-23,49.22,50.39,49.0,50.18,2862808.0,50.056,17818
29,2025-05-27,51.23,51.99,50.62,51.82,3668474.0,51.558,21669
30,2025-05-28,51.77,52.79,51.64,52.35,3217470.0,52.378,20122
31,2025-05-29,53.22,53.35,51.99,52.55,2415058.0,52.492,15505
32,2025-05-30,52.01,52.41,51.25,51.55,3149001.0,51.887,17206
33,2025-06-02,51.43,52.41,51.17,52.19,2129173.0,51.9,14956
34,2025-06-03,52.34,53.92,51.88,53.77,2735222.0,53.547,15952
35,2025-06-04,53.96,54.76,53.47,54.43,2577916.0,54.418,13038
36,2025-06-05,54.88,55.61,54.22,55.05,3690170.0,55.085,15709
37,2025-06-06,55.91,56.75,55.42,55.45,3319750.0,56.175,17018
38,2025-06-09,56.53,57.46,56.08,57.02,3814034.0,57.075,18912
39,2025-06-10,57.2,57.39,55.57,55.95,3821089.0,56.137,19876
40,2025-06-11,56.41,56.84,55.18,55.67,2235952.0,55.798,14270
41,2025-06-12,55.37,56.05,55.13,55.78,1558104.0,55.778,9111
42,2025-06-13,54.85,56.27,54.6,55.7,2187059.0,55.649,13301
43,2025-06-16,56.49,57.69,56.26,57.41,3390351.0,57.432,17007
44,2025-06-17,58.06,60.59,57.87,58.57,4381939.0,59.213,26536
45,2025-06-18,58.69,59.93,58.53,59.19,3217135.0,59.383,19848
46,2025-06-20,59.87,60.0,58.97,59.29,3421359.0,59.447,21459
47,2025-06-23,59.0,60.51,58.66,60.38,2559560.0,60.104,14207
48,2025-06-24,60.79,62.32,60.56,62.07,3327346.0,61.941,18987
49,2025-06-25,62.53,62.89,62.13,62.55,2560640.0,62.483,13747
50,2025-06-26,62.65,63.76,62.53,63.51,3881364.0,63.246,22748
