,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,36.53,36.62,35.28,35.41,2542672.0,35.841,11885
1,2025-04-14 12:00:00-04:00,35.41,36.4,35.33,35.81,4567844.0,35.918,26012
2,2025-04-15 09:30:00-04:00,35.81,36.33,35.48,36.16,1105849.0,36.032,6807
3,2025-04-15 12:00:00-04:00,36.17,36.28,35.73,35.91,2467803.0,35.986,15219
4,2025-04-16 09:30:00-04:00,35.77,36.25,35.47,36.0,1033645.0,35.845,5544
5,2025-04-16 12:00:00-04:00,36.02,36.13,35.0,35.63,3389202.0,35.526,16744
6,2025-04-17 09:30:00-04:00,36.18,36.18,35.51,35.83,1678883.0,35.8,7373
7,2025-04-17 12:00:00-04:00,35.85,36.7,35.82,36.47,3481971.0,36.31,19095
8,2025-04-21 09:30:00-04:00,36.09,36.28,35.51,35.52,1505150.0,35.788,6632
9,2025-04-21 12:00:00-04:00,35.53,36.05,35.52,35.97,2291801.0,35.814,13256
10,2025-04-22 09:30:00-04:00,36.36,36.84,36.07,36.37,643034.0,36.47,3823
11,2025-04-22 12:00:00-04:00,36.37,37.0,35.98,36.7,2296495.0,36.591,13305
12,2025-04-23 09:30:00-04:00,38.37,39.1,37.66,37.92,1479092.0,38.586,9647
13,2025-04-23 12:00:00-04:00,37.9,38.17,37.47,37.72,1661148.0,37.821,10172
14,2025-04-24 09:30:00-04:00,38.22,39.94,38.19,39.83,1090743.0,39.387,6731
15,2025-04-24 12:00:00-04:00,39.84,40.36,39.76,40.14,2438247.0,40.138,13645
16,2025-04-25 09:30:00-04:00,40.2,40.58,39.9,40.43,1040585.0,40.397,5410
17,2025-04-25 12:00:00-04:00,40.43,41.07,40.34,40.81,1640439.0,40.739,9601
18,2025-04-28 09:30:00-04:00,40.7,41.13,40.18,40.48,1618745.0,40.768,6891
19,2025-04-28 12:00:00-04:00,40.48,41.09,40.25,40.91,1951627.0,40.709,12074
20,2025-04-29 09:30:00-04:00,40.71,41.25,40.61,40.81,944708.0,40.926,6415
21,2025-04-29 12:00:00-04:00,40.82,41.02,40.58,40.63,3373610.0,40.793,21630
22,2025-04-30 09:30:00-04:00,42.98,43.73,41.83,43.49,5522687.0,42.712,24713
23,2025-04-30 12:00:00-04:00,43.48,44.07,42.93,43.91,3546223.0,43.539,21940
24,2025-05-01 09:30:00-04:00,44.87,45.15,44.19,44.27,1824432.0,44.659,11618
25,2025-05-01 12:00:00-04:00,44.27,44.64,43.86,43.93,3164604.0,44.291,18829
26,2025-05-02 09:30:00-04:00,44.99,45.38,44.48,44.6,1701873.0,44.93,9054
27,2025-05-02 12:00:00-04:00,44.61,45.17,44.52,44.71,3056788.0,44.813,19165
28,2025-05-05 09:30:00-04:00,43.95,45.39,43.95,44.73,2302319.0,44.99,10458
29,2025-05-05 12:00:00-04:00,44.73,45.61,44.71,45.06,2180602.0,45.235,15475
30,2025-05-06 09:30:00-04:00,44.58,44.9,44.23,44.61,1021645.0,44.646,6144
31,2025-05-06 12:00:00-04:00,44.61,44.91,44.11,44.27,1914491.0,44.436,12079
32,2025-05-07 09:30:00-04:00,44.41,44.41,43.6,44.38,1338151.0,44.077,5930
33,2025-05-07 12:00:00-04:00,44.36,44.66,43.76,44.3,2572778.0,44.18,15079
34,2025-05-08 09:30:00-04:00,44.93,45.01,44.17,44.4,1096598.0,44.487,6598
35,2025-05-08 12:00:00-04:00,44.39,45.13,44.26,44.31,1857195.0,44.6,11939
36,2025-05-09 09:30:00-04:00,44.55,45.23,44.17,44.18,1063223.0,44.615,5987
37,2025-05-09 12:00:00-04:00,44.18,44.23,43.88,44.09,1937658.0,44.087,10994
