,date,open,high,low,close,volume,average,barCount
0,2025-04-14 09:30:00-04:00,74.41,74.97,71.93,72.02,616924.0,73.341,3499
1,2025-04-14 12:00:00-04:00,71.96,74.01,71.77,73.57,957800.0,73.331,6323
2,2025-04-15 09:30:00-04:00,73.28,75.48,73.0,75.35,474737.0,74.797,3050
3,2025-04-15 12:00:00-04:00,75.34,75.6,74.89,74.9,599075.0,75.162,4343
4,2025-04-16 09:30:00-04:00,74.13,74.67,73.43,73.96,431962.0,74.079,2310
5,2025-04-16 12:00:00-04:00,73.96,74.29,72.65,73.74,674407.0,73.434,4674
6,2025-04-17 09:30:00-04:00,74.31,75.0,73.62,74.78,286943.0,74.431,1978
7,2025-04-17 12:00:00-04:00,74.8,75.19,74.27,74.78,532516.0,74.691,3664
8,2025-04-21 09:30:00-04:00,74.77,75.77,73.8,74.33,460274.0,74.924,2330
9,2025-04-21 12:00:00-04:00,74.29,75.12,74.11,74.93,1089506.0,74.603,6396
10,2025-04-22 09:30:00-04:00,75.25,76.64,75.25,76.4,346911.0,76.01,2382
11,2025-04-22 12:00:00-04:00,76.48,77.48,76.09,76.98,901897.0,76.932,6527
12,2025-04-23 09:30:00-04:00,79.15,81.48,78.19,78.65,703658.0,79.946,4781
13,2025-04-23 12:00:00-04:00,78.61,79.84,78.06,79.12,717326.0,79.138,5682
14,2025-04-24 09:30:00-04:00,79.38,80.78,79.1,80.55,283794.0,79.968,2061
15,2025-04-24 12:00:00-04:00,80.55,81.86,80.46,81.59,663302.0,81.407,4573
16,2025-04-25 09:30:00-04:00,81.5,82.3,81.1,81.77,228519.0,81.65,1098
17,2025-04-25 12:00:00-04:00,81.78,82.29,81.46,82.12,347544.0,81.924,2374
18,2025-04-28 09:30:00-04:00,82.09,83.31,81.63,82.38,297951.0,82.589,1650
19,2025-04-28 12:00:00-04:00,82.39,82.51,81.85,82.2,494932.0,82.206,4147
20,2025-04-29 09:30:00-04:00,81.88,82.4,80.95,81.09,321458.0,81.55,2191
