,date,open,high,low,close,volume,average,barCount
0,2025-04-14,35.0,35.0,32.65,33.13,4368516.0,33.824,19123
1,2025-04-15,33.19,33.46,31.49,31.84,1804612.0,31.945,9004
2,2025-04-16,31.87,33.67,31.87,32.49,1485178.0,32.767,6875
3,2025-04-17,32.76,33.77,32.69,33.08,1073627.0,33.315,5014
4,2025-04-21,32.83,33.09,31.34,31.82,1163581.0,31.912,4948
5,2025-04-22,32.28,33.69,31.83,33.0,1443480.0,33.018,7066
6,2025-04-23,33.85,34.02,32.43,32.65,1975224.0,33.335,8777
7,2025-04-24,32.75,33.28,32.2,32.24,1241544.0,32.727,6144
8,2025-04-25,32.0,32.44,31.43,32.0,1169112.0,31.918,5707
9,2025-04-28,31.82,32.55,31.08,31.45,993384.0,31.544,4460
10,2025-04-29,31.06,31.49,30.82,31.13,659368.0,31.163,3073
11,2025-04-30,30.44,30.87,29.76,29.8,1558495.0,30.141,7552
12,2025-05-01,29.71,30.43,28.94,29.24,1354543.0,29.555,6874
13,2025-05-02,29.8,29.98,28.76,29.09,1277870.0,29.122,6398
14,2025-05-05,28.65,28.94,28.08,28.1,1706066.0,28.479,7717
15,2025-05-06,28.25,30.24,28.2,30.18,1740596.0,29.54,7894
16,2025-05-07,30.04,30.76,29.51,30.27,1762527.0,30.188,9009
17,2025-05-08,30.35,31.12,29.33,30.84,2148093.0,30.33,10049
18,2025-05-09,31.24,32.81,31.18,32.7,3093149.0,32.105,13845
19,2025-05-12,33.73,35.65,33.6,35.53,3814044.0,34.692,15526
20,2025-05-13,35.55,36.4,34.91,35.91,2531101.0,35.908,9602
21,2025-05-14,35.57,36.44,35.01,36.24,2230102.0,35.814,10233
22,2025-05-15,35.34,35.92,34.41,35.77,2223246.0,35.306,9779
23,2025-05-16,35.6,35.98,35.12,35.88,990133.0,35.648,4510
24,2025-05-19,36.3,37.44,35.76,36.91,2176421.0,36.85,8630
25,2025-05-20,37.0,37.05,36.04,36.5,1573831.0,36.489,7109
26,2025-05-21,36.55,37.18,35.86,35.93,1573328.0,36.623,6978
27,2025-05-22,35.39,36.68,35.13,36.12,1149704.0,36.192,5783
28,2025-05-23,35.11,36.63,35.11,36.52,804772.0,36.31,4354
29,2025-05-27,36.7,36.96,36.28,36.57,1287819.0,36.617,5789
30,2025-05-28,36.57,37.67,35.45,36.96,1669939.0,36.838,8254
31,2025-05-29,37.36,37.5,36.13,36.26,1216410.0,36.495,5546
32,2025-05-30,35.68,36.13,34.93,35.38,1496895.0,35.511,7119
33,2025-06-02,35.92,36.25,34.59,34.62,1181863.0,35.187,6488
34,2025-06-03,34.66,35.68,34.12,35.32,980447.0,35.147,4938
35,2025-06-04,35.31,35.7,33.6,33.61,1710795.0,34.342,7236
36,2025-06-05,33.93,34.24,33.55,33.88,742844.0,33.872,3733
37,2025-06-06,34.01,34.58,33.45,34.27,770786.0,34.214,3982
38,2025-06-09,34.25,34.25,33.66,33.71,1525823.0,33.95,7106
39,2025-06-10,34.19,36.5,34.06,36.29,2385233.0,35.83,10370
40,2025-06-11,36.41,36.97,35.3,35.92,1395642.0,36.137,6222
41,2025-06-12,35.85,36.7,35.6,36.21,743307.0,36.149,3538
42,2025-06-13,36.54,37.22,35.33,36.29,2112600.0,36.419,9094
43,2025-06-16,36.45,36.89,35.26,35.48,618871.0,35.754,2660
44,2025-06-17,35.66,35.95,34.87,35.43,1166053.0,35.39,5372
45,2025-06-18,35.2,36.34,35.17,35.28,812058.0,35.795,3418
46,2025-06-20,35.5,35.71,34.55,34.68,631606.0,34.869,2770
47,2025-06-23,34.9,35.03,33.49,33.79,1461839.0,34.183,7027
48,2025-06-24,33.55,34.75,33.33,34.35,1006029.0,34.292,4410
49,2025-06-25,34.34,34.34,32.87,33.06,1204026.0,33.446,5109
50,2025-06-26,33.44,33.79,32.91,33.38,877751.0,33.395,4409
51,2025-06-27,33.43,33.87,32.8,33.33,714697.0,33.392,3275
52,2025-06-30,33.03,33.25,30.48,31.45,4430589.0,31.601,16968
53,2025-07-01,31.05,31.96,30.6,31.45,2760484.0,31.448,11514
54,2025-07-02,31.29,32.11,31.26,32.04,1485724.0,31.803,7155
55,2025-07-03,32.12,32.55,31.97,32.28,638429.0,32.312,2763
56,2025-07-07,32.1,32.2,30.45,30.9,1274980.0,30.983,5869
57,2025-07-08,31.06,33.06,30.8,33.05,1463631.0,32.347,7003
58,2025-07-09,32.99,33.2,31.76,31.91,869851.0,32.175,4542
59,2025-07-10,31.54,32.28,31.05,31.8,1479219.0,31.825,6563
60,2025-07-11,31.77,31.77,30.86,30.97,1128097.0,31.157,5225
61,2025-07-14,30.82,31.25,30.21,31.08,878109.0,30.843,3832
62,2025-07-15,31.1,31.68,30.54,31.61,1079698.0,31.2,4618
63,2025-07-16,31.63,31.7,30.6,30.81,1140242.0,30.941,5308
64,2025-07-17,30.79,31.35,30.59,30.91,1426491.0,30.962,7174
65,2025-07-18,31.55,31.73,30.7,30.73,1048652.0,31.158,4549
66,2025-07-21,30.89,31.41,30.48,30.59,867155.0,30.789,4425
67,2025-07-22,30.34,31.03,30.15,30.53,1208124.0,30.562,6257
68,2025-07-23,30.77,32.67,30.6,32.29,1580739.0,31.84,7207
69,2025-07-24,31.98,32.47,31.65,32.4,982521.0,32.127,4031
70,2025-07-25,32.57,33.68,32.48,33.16,1361909.0,33.257,5471
71,2025-07-28,33.17,33.87,33.02,33.23,646633.0,33.355,2850
72,2025-07-29,33.31,34.99,33.12,34.81,1486750.0,34.408,6188
73,2025-07-30,35.0,35.0,33.57,33.89,961416.0,34.155,4252
74,2025-07-31,33.68,34.35,33.08,33.54,889664.0,33.703,3619
