,date,open,high,low,close,volume,average,barCount
0,2025-04-14,202.0,202.48,196.29,199.44,962673.0,199.663,6473
1,2025-04-15,199.68,205.0,199.27,204.64,1002916.0,203.595,6258
2,2025-04-16,203.24,206.8,199.4,202.87,897614.0,203.446,6569
3,2025-04-17,202.87,203.0,199.1,201.09,921709.0,200.783,5199
4,2025-04-21,198.82,199.29,191.46,193.7,824941.0,194.336,5573
5,2025-04-22,196.95,198.7,194.35,196.52,714619.0,196.026,4468
6,2025-04-23,202.0,207.23,199.53,200.59,1198376.0,202.422,7703
7,2025-04-24,202.24,212.36,201.69,210.14,1526289.0,209.983,10541
8,2025-04-25,210.22,217.15,209.37,215.58,1704141.0,214.998,10904
9,2025-04-28,219.34,221.5,216.43,219.86,1663218.0,219.587,10736
10,2025-04-29,220.74,224.7,219.88,223.85,1329569.0,222.762,8086
11,2025-04-30,218.92,226.6,217.76,226.17,1088630.0,222.95,5984
12,2025-05-01,228.5,230.79,226.54,227.06,1430354.0,229.044,8546
13,2025-05-02,230.92,231.93,228.83,230.47,930524.0,230.623,5958
14,2025-05-05,228.66,235.67,227.94,232.98,1262187.0,233.422,8239
15,2025-05-06,229.61,235.0,228.68,233.1,932463.0,232.524,5543
16,2025-05-07,232.5,235.0,230.05,233.54,780787.0,232.578,5642
17,2025-05-08,233.94,234.54,230.64,233.15,1151315.0,233.009,7845
18,2025-05-09,233.34,235.0,227.69,233.06,1340033.0,231.609,8565
19,2025-05-12,237.26,241.74,236.62,241.48,1283668.0,239.545,9096
20,2025-05-13,240.02,247.28,240.02,245.0,1296707.0,245.159,8691
21,2025-05-14,244.22,247.0,243.47,244.45,1214486.0,244.617,8220
22,2025-05-15,243.7,246.5,241.58,245.92,1951544.0,244.758,6882
23,2025-05-16,247.1,253.59,246.68,251.5,1728798.0,251.337,10062
24,2025-05-19,248.48,253.72,247.3,252.57,730841.0,252.03,5165
25,2025-05-20,250.79,252.28,248.95,251.95,990592.0,251.069,7515
26,2025-05-21,249.61,253.94,247.71,248.72,1002614.0,250.285,7220
27,2025-05-22,249.1,254.59,247.7,252.82,1108879.0,252.445,7632
28,2025-05-23,249.89,255.87,248.61,254.1,679739.0,253.802,4813
29,2025-05-27,257.7,259.4,256.14,257.3,703384.0,257.465,5357
30,2025-05-28,256.0,256.0,252.5,253.65,1099445.0,254.239,7970
31,2025-05-29,255.0,255.16,248.74,251.11,2138188.0,251.603,15553
32,2025-05-30,262.28,276.49,262.28,275.7,4490017.0,272.093,28613
33,2025-06-02,276.62,293.53,276.35,293.18,3331507.0,288.449,21977
34,2025-06-03,292.9,298.0,290.22,295.03,1731539.0,294.819,11245
35,2025-06-04,295.48,303.42,294.12,296.85,1425053.0,299.229,9475
36,2025-06-05,299.84,303.73,298.33,300.88,1244882.0,301.05,7980
37,2025-06-06,302.63,306.78,302.1,303.03,1032975.0,304.432,7224
38,2025-06-09,303.61,305.5,299.59,299.9,1002933.0,302.035,7586
39,2025-06-10,300.0,303.96,296.2,297.97,639418.0,298.847,4883
40,2025-06-11,297.4,302.98,296.22,299.86,929462.0,299.895,6874
41,2025-06-12,300.29,306.49,300.1,301.43,753911.0,302.871,5680
42,2025-06-13,302.49,305.61,300.5,301.95,965729.0,302.448,6958
43,2025-06-16,304.06,309.19,303.55,305.02,1061373.0,306.412,7232
44,2025-06-17,303.87,307.99,299.52,307.31,1215019.0,304.351,7878
45,2025-06-18,306.32,308.66,302.38,305.41,919711.0,305.388,6079
46,2025-06-20,305.49,308.4,300.26,302.94,1011868.0,304.627,6799
47,2025-06-23,301.38,311.72,298.43,310.46,1146527.0,307.601,8107
48,2025-06-24,311.48,314.64,306.35,308.46,820559.0,309.059,6187
49,2025-06-25,310.93,316.44,310.91,311.98,935731.0,313.258,6569
50,2025-06-26,314.33,317.18,311.66,313.85,985298.0,314.734,7224
51,2025-06-27,315.69,317.26,312.55,315.32,866111.0,315.358,6509
52,2025-06-30,306.04,314.33,306.04,313.94,1272903.0,311.247,8287
53,2025-07-01,314.5,316.82,301.85,307.32,1404257.0,308.432,9369
54,2025-07-02,307.09,312.46,305.53,309.33,688855.0,309.418,4741
55,2025-07-03,310.47,316.45,308.1,314.77,501337.0,313.544,3207
56,2025-07-07,312.86,316.02,309.67,315.45,685578.0,313.92,4597
57,2025-07-08,316.78,318.46,307.16,312.44,787756.0,311.81,5430
58,2025-07-09,314.72,317.28,311.5,316.5,600331.0,315.278,4332
59,2025-07-10,315.94,316.0,296.08,296.18,1468811.0,301.367,10196
60,2025-07-11,297.39,298.7,289.0,289.74,973851.0,293.645,6901
61,2025-07-14,288.2,295.0,286.7,291.14,685308.0,292.298,5281
62,2025-07-15,291.6,292.17,287.33,288.9,579475.0,289.464,4254
63,2025-07-16,289.82,291.65,284.54,287.76,715284.0,287.43,4951
64,2025-07-17,287.55,289.05,285.54,286.29,459621.0,287.196,3335
65,2025-07-18,287.5,289.67,284.61,288.72,850631.0,287.205,5597
66,2025-07-21,290.0,293.65,285.8,288.43,563603.0,289.107,4050
67,2025-07-22,288.72,289.24,283.47,285.71,449744.0,286.543,3263
68,2025-07-23,285.07,286.31,280.0,283.37,583326.0,282.939,4346
69,2025-07-24,284.02,286.34,281.19,284.3,400517.0,283.114,2910
70,2025-07-25,284.25,289.31,283.99,286.19,318915.0,287.12,2341
71,2025-07-28,288.11,290.0,285.65,289.04,427384.0,288.398,3090
72,2025-07-29,290.84,293.64,286.55,290.07,576206.0,290.181,4365
73,2025-07-30,290.76,290.86,283.4,287.73,435941.0,286.792,3327
74,2025-07-31,291.35,292.0,282.25,285.56,709801.0,288.356,5140
75,2025-08-01,281.45,283.7,274.3,280.27,1411980.0,279.555,10861
76,2025-08-04,281.94,286.18,278.11,285.86,1004609.0,284.773,7708
77,2025-08-05,286.35,287.12,281.68,281.96,375216.0,283.284,2809
78,2025-08-06,283.35,289.44,282.11,289.32,362789.0,286.475,2934
79,2025-08-07,291.37,291.37,265.88,272.5,1455749.0,272.172,10457
80,2025-08-08,273.63,274.83,268.26,269.69,872329.0,270.093,5835
81,2025-08-11,268.83,276.23,267.11,271.18,486665.0,272.774,3568
82,2025-08-12,272.53,275.63,269.51,275.43,346005.0,273.826,2702
83,2025-08-13,279.05,280.0,274.81,277.77,484994.0,277.736,3711
84,2025-08-14,273.9,276.82,269.72,270.99,398959.0,272.216,3171
85,2025-08-15,271.05,275.56,270.51,274.97,340307.0,273.8,2020
86,2025-08-18,275.47,277.34,273.9,277.03,379916.0,276.226,2774
87,2025-08-19,280.35,282.55,273.91,274.92,486816.0,276.723,3788
88,2025-08-20,274.68,277.5,270.36,273.81,388015.0,274.092,2891
89,2025-08-21,273.83,273.83,268.78,270.35,285146.0,270.333,2019
90,2025-08-22,270.4,276.79,269.14,272.51,333300.0,273.559,2141
91,2025-08-25,273.67,275.47,269.13,269.66,294731.0,270.856,2216
92,2025-08-26,269.1,271.77,265.86,267.68,297575.0,267.837,2094
93,2025-08-27,269.58,273.77,267.51,273.07,391247.0,271.861,2753
94,2025-08-28,272.91,283.65,272.82,280.42,810520.0,280.42,5640
95,2025-08-29,282.94,284.7,274.67,277.05,598668.0,277.595,4081
96,2025-09-02,279.71,280.98,268.54,274.57,1937347.0,273.108,12122
97,2025-09-03,272.5,274.5,260.4,270.58,3542674.0,267.723,19034
98,2025-09-04,269.87,270.0,262.9,268.25,947170.0,267.209,5968
99,2025-09-05,269.91,274.2,267.0,274.2,723452.0,271.152,4114
100,2025-09-08,275.0,281.76,273.73,281.6,933152.0,277.848,5425
101,2025-09-09,281.35,284.35,279.0,282.29,798768.0,281.06,4545
102,2025-09-10,284.3,288.89,276.31,278.79,883391.0,282.969,5594
103,2025-09-11,282.05,292.94,281.45,286.66,875350.0,288.342,5561
104,2025-09-12,286.9,288.53,282.46,283.19,689401.0,284.658,4381
105,2025-09-15,284.78,289.58,283.61,285.66,460667.0,285.904,3467
106,2025-09-16,286.03,286.03,277.07,281.96,958436.0,280.733,5485
107,2025-09-17,281.71,286.79,277.06,279.46,568752.0,281.719,3835
108,2025-09-18,282.45,291.73,281.94,291.11,959216.0,288.664,6566
109,2025-09-19,292.67,294.65,289.24,294.27,615884.0,292.668,3375
110,2025-09-22,293.82,294.46,286.51,291.57,407046.0,290.786,2733
111,2025-09-23,290.97,293.57,287.33,289.29,362238.0,290.4,2548
112,2025-09-24,289.54,291.25,283.08,284.42,354172.0,286.014,2597
113,2025-09-25,281.57,287.75,279.42,286.66,318298.0,285.038,2526
114,2025-09-26,287.0,296.88,285.7,294.65,663028.0,292.7,4441
115,2025-09-29,297.11,300.81,293.51,296.9,587147.0,296.754,4552
